*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
Bar  anti-Xi_b*0    -5324 5.97            0       0        0   3       0       0
Bar  Omega_b-        5332 6.12            0       0       -3   1    0.40     356
Bar  anti-Omeg_b+   -5332 6.12            0       0        3   1    0.40       0
Bar  Omega_b*-       5334 6.13            0       0       -3   3       0     386
Bar  ant-Omeg_b*+   -5334 6.13            0       0        3   3       0       0
*
* Diquarks
*
DiQ  dd_0            1101 0               0       0       -2   0       0       0
DiQ  anti-dd_0      -1101 0               0       0        2   0       0       0
DiQ  ud_0            2101 0               0       0        1   0       0       0
DiQ  anti-ud_0      -2101 0               0       0       -1   0       0       0
DiQ  uu_0            2201 0               0       0        4   0       0       0
DiQ  anti-uu_0      -2201 0               0       0       -4   0       0       0
DiQ  sd_0            3101 0               0       0       -2   0       0       0
DiQ  anti-sd_0      -3101 0               0       0        2   0       0       0
DiQ  su_0            3201 0               0       0        1   0       0       0
DiQ  anti-su_0      -3201 0               0       0       -1   0       0       0
DiQ  ss_0            3301 0               0       0       -2   0       0       0
DiQ  anti-ss_0      -3301 0               0       0        2   0       0       0
DiQ  cd_0            4101 0               0       0        1   0       0       0
DiQ  anti-cd_0      -4101 0               0       0       -1   0       0       0
DiQ  cu_0            4201 0               0       0        4   0       0       0
DiQ  anti-cu_0      -4201 0               0       0       -4   0       0       0
DiQ  cs_0            4301 0               0       0        1   0       0       0
DiQ  anti-cs_0      -4301 0               0       0       -1   0       0       0
DiQ  cc_0            4401 0               0       0        4   0       0       0
DiQ  anti-cc_0      -4401 0               0       0       -4   0       0       0
